,0
0,4696.3477
1,3976.1836
2,4214.8193
3,4377.5244
4,4634.3164
5,4972.0137
6,4949.4814
7,5551.751
8,5576.3564
9,5661.922
10,5913.635
11,6709.1367
12,6029.1934
13,5995.9727
14,5660.073
15,5876.5107
16,5843.5996
17,4556.967
18,5820.1924
19,5157.17
20,5384.325
21,5062.7715
22,5343.3564
23,5387.9756
24,5455.9736
25,6041.045
26,5927.203
27,5691.177
28,5686.797
29,5383.626
30,5164.3896
31,5506.7676
32,5123.457
33,4911.4375
34,4896.3604
35,4592.7607
36,4994.8867
37,5981.9043
38,6122.3027
39,5204.9736
40,5881.8877
41,4821.537
42,5991.3105
43,6267.0684
44,5666.8457
45,5788.1963
46,5659.1006
47,5547.497
48,5605.2383
49,5373.5996
50,5262.8486
51,6216.6562
52,5432.996
53,4965.967
54,4335.088
55,5351.4854
56,5167.7715
57,6069.2383
58,4275.8594
59,6460.0117
60,6289.212
61,6793.6377
62,7105.623
63,7401.0293
64,7578.0186
65,8254.104
66,8093.6055
67,7760.9043
68,8291.694
69,9716.486
70,9051.441
71,8131.2314
72,9927.992
73,13202.981
74,16625.242
75,15686.231
76,13916.704
77,13971.665
78,9594.129
79,12777.574
80,7768.4404
81,6759.875
82,2705.4834
83,6389.448
84,5438.4463
85,6192.6094
86,6789.6855
87,7116.3184
88,6936.6914
89,6140.706
90,8061.4355
91,6596.705
92,6546.0996
93,6820.8594
94,6817.329
95,5851.7617
96,7143.83
97,6984.0986
98,8849.5625
99,8206.341
100,7934.4043
101,8177.548
102,9244.898
103,9206.182
104,10302.307
105,9835.256
106,13661.769
107,13534.668
108,15951.728
109,15021.483
110,19963.941
111,24024.588
112,19613.898
113,20608.643
114,20558.855
115,21404.977
116,19223.453
117,20033.045
118,17940.902
119,18015.93
120,18900.512
121,19448.023
122,18742.18
123,17367.375
124,18311.297
125,17393.057
126,18106.363
127,17756.475
128,17991.398
129,19307.31
130,18590.742
131,16865.434
132,17547.844
133,17246.53
134,18951.943
135,16981.156
136,17075.357
137,16940.543
138,17105.99
139,17892.416
140,16830.705
141,17072.98
142,16774.295
143,19052.639
144,19201.066
145,19012.49
146,18106.006
147,19699.77
148,19286.357
149,18715.064
150,20988.781
151,19535.287
152,20823.137
153,19179.98
154,18969.576
155,19315.852
156,19321.654
157,19087.686
158,18831.12
159,19631.502
160,20270.934
161,18871.799
162,19010.957
163,20263.355
164,19099.564
165,21669.484
166,19206.232
167,20465.732
168,31554.17
169,20914.992
170,18708.627
171,18563.51
172,19304.281
173,16530.2
174,16997.654
175,16346.724
176,15850.983
177,14810.879
178,15462.218
179,15084.966
180,15607.792
181,16402.975
182,13338.116
183,16102.834
184,17632.324
185,16580.807
186,17392.537
187,17653.379
188,19507.188
189,16842.094
190,17963.768
191,18358.357
192,19673.156
193,19257.895
194,19212.38
195,19156.467
196,19805.484
197,18196.025
198,21337.422
199,19825.672
200,20014.879
201,17040.15
202,21814.51
203,19425.0
204,23228.559
205,16914.686
206,19076.602
207,19326.232
208,19793.152
209,18609.105
210,17113.75
211,18620.21
212,18208.154
213,19714.332
214,18891.879
215,17083.668
216,16580.17
217,15542.523
218,14991.912
219,13847.395
220,14479.605
221,11349.7295
222,11344.92
223,11255.281
224,11069.975
225,9710.006
226,10132.06
227,10712.405
228,12577.8125
229,12343.072
230,11681.625
231,12366.65
232,12290.602
233,13452.103
234,12691.716
235,12363.11
236,11203.199
237,11507.734
238,19675.654
239,10379.069
240,9718.82
241,10334.803
242,10040.641
243,8590.334
244,7880.7285
245,7212.2295
246,7293.5166
247,8287.951
248,8493.32
249,8819.366
250,9322.861
251,9862.41
252,10251.4
253,10362.529
254,10356.07
255,10179.592
256,10657.459
257,9326.119
258,9848.646
259,9648.834
260,9337.22
261,9755.729
262,10266.922
263,9835.856
264,10372.548
265,9589.421
266,9924.818
267,10169.278
268,10155.898
269,10241.387
270,10271.82
271,10003.158
272,11060.748
273,9362.891
274,9656.17
275,9882.883
276,10249.452
277,10432.391
278,9658.877
279,9784.805
280,9681.262
281,9436.869
282,9344.456
283,9142.889
284,9487.5625
285,8132.658
286,4579.3057
287,2974.461
288,4581.0557
289,3522.1846
290,3483.541
291,2652.079
292,2711.3174
293,3071.1855
294,2971.37
295,2371.3936
296,3298.5361
297,3168.5059
298,3093.4268
299,2966.0488
300,2985.6035
301,2293.8008
302,2330.042
303,1724.6133
304,1917.8027
305,1769.2139
306,1842.3555
307,1521.4639
308,1804.7041
309,1822.5029
310,2055.4258
311,2160.836
312,2615.1514
313,2651.3848
314,2888.5928
315,2896.5518
316,2896.9023
317,2930.8906
318,2902.582
319,3224.6504
320,2604.6797
321,2571.084
322,2698.5654
323,2772.1602
324,2627.5244
325,2729.38
326,2814.878
327,3331.921
328,2880.829
329,2932.6191
330,3080.6475
331,3067.0557
332,3495.7188
333,2767.8652
334,2974.7852
335,2886.5166
336,3002.3057
337,2841.5
338,2721.754
339,2932.8926
340,2325.5938
341,2375.3652
342,2426.9014
343,2174.5732
344,2655.7744
345,2165.6338
346,2166.6006
347,1419.0029
348,2528.3887
349,2291.038
350,2199.288
351,2126.7012
352,2065.7588
353,2303.6748
354,2492.121
355,2424.0488
356,2375.961
357,2881.9092
358,2369.832
359,2456.0205
360,1675.5342
361,2876.1758
362,2146.3555
363,1804.9414
364,2550.3809
365,2146.7314
366,2490.171
367,3072.9365
368,3202.584
369,2501.0898
370,2856.914
371,2652.4053
372,2822.8477
373,2670.963
374,2497.3926
375,2614.3496
376,2560.5107
377,1868.9824
378,2176.2402
379,2140.2861
380,2488.8203
381,2573.7373
382,2591.166
383,2869.8574
384,2856.1914
385,2842.0293
386,2861.293
387,2634.1172
388,3271.9463
389,3034.2832
390,2982.6768
391,3100.374
392,3462.9307
393,3333.2305
394,3220.4775
395,3167.248
396,3049.6182
397,3057.3418
398,3200.915
399,3024.8262
400,3164.9346
401,3604.3945
402,4265.6855
403,3936.126
404,10300.839
405,8542.899
406,6701.007
407,6118.2686
408,7880.132
409,6155.661
410,6894.6084
411,6700.6455
412,6586.2334
413,7595.0
414,6860.7275
415,7619.2656
416,8465.322
417,8431.904
418,9357.347
419,11488.859
420,9538.703
421,7775.507
422,7518.6484
423,6360.9463
424,5624.5146
425,4832.379
426,4474.243
427,3955.7715
428,4697.4453
429,7152.5176
430,6672.216
431,6564.2764
432,7010.496
433,7074.2666
434,6903.546
435,7312.074
436,7559.829
437,7681.5264
438,8112.798
439,7686.41
440,8678.311
441,8199.606
442,7473.9697
443,10137.135
444,8132.1104
445,7390.9355
446,7145.6094
447,6497.415
448,5910.956
449,5587.378
450,5220.991
451,4738.547
452,4704.6426
453,4882.462
454,4840.3945
455,4758.6084
456,5191.6035
457,4971.1943
458,5038.6484
459,4538.3467
460,5701.5635
461,5639.9385
462,6645.949
463,7267.045
464,6977.546
465,7086.4365
466,7080.4014
467,8209.667
468,6387.2793
469,8391.152
470,6807.0186
471,11309.486
472,10488.125
473,10150.169
474,7397.9795
475,11109.355
476,9739.355
477,6498.4014
478,5531.967
479,5799.841
480,3835.2637
481,4843.622
482,4725.4316
483,5049.908
484,5111.834
485,5545.625
486,3952.6426
487,6322.916
488,7214.834
489,7672.5547
490,11094.723
491,11008.285
492,6428.6494
493,8624.742
494,7895.1084
495,10389.16
496,6285.342
497,7677.4854
498,5605.9307
499,8334.367
500,7082.5967
501,7279.9336
502,7553.6797
503,7704.4297
504,8616.313
505,8062.5215
506,9176.15
507,8518.964
508,9026.502
509,10477.326
510,15359.227
511,11809.344
512,14452.427
513,14880.517
514,15073.037
515,13315.13
516,13682.037
517,11964.959
518,10230.291
519,10524.54
520,10060.238
521,9641.379
522,10540.875
523,9693.34
524,9030.227
525,9880.457
526,10798.77
527,9268.105
528,9009.015
529,8913.074
530,8505.11
531,8584.521
532,8286.602
533,8605.541
534,8639.967
535,11648.729
536,12616.989
537,12129.807
538,13081.881
539,11429.953
540,10160.023
541,10344.882
542,8276.614
543,9316.607
544,9600.141
545,9561.463
546,9752.9375
547,11635.344
548,11613.734
549,11155.006
550,11954.109
551,10257.363
552,11308.866
553,10512.289
554,10464.144
555,10966.471
556,10878.465
557,11857.144
558,12486.696
559,13153.99
560,12576.262
561,14212.619
562,15205.541
563,14899.078
564,14383.915
565,13758.861
566,14783.667
567,11323.533
568,12576.5
569,14007.123
570,15195.617
571,15024.445
572,17485.896
573,17963.418
574,18004.418
575,16970.736
576,18656.371
577,19710.988
578,19456.396
579,19358.428
580,19322.805
581,20684.656
582,18270.672
583,22031.762
584,19427.93
585,19114.508
586,19435.482
587,20580.307
588,19791.557
589,19242.227
590,19907.496
591,18497.55
592,19265.363
593,18356.668
594,18499.947
595,19634.395
596,18414.234
597,19218.43
598,18662.977
599,17749.71
600,18908.885
601,18611.926
602,20646.047
603,20147.748
604,19212.68
605,19641.176
606,20044.451
607,18847.016
608,19276.4
609,16672.697
610,22517.135
611,20710.074
612,19132.52
613,18495.32
614,21562.713
615,19729.768
616,20635.246
617,19691.906
618,21503.941
619,21408.053
620,21057.668
621,20842.555
622,23193.375
623,22661.836
624,21421.715
625,20466.543
626,22540.365
627,20010.342
628,21644.664
629,21731.033
630,20547.021
631,21644.977
632,20546.893
633,22023.328
634,21150.791
635,19154.072
636,21328.297
637,21555.727
638,21238.617
639,21525.133
640,22231.727
641,21444.264
642,25049.031
643,22023.43
644,22939.822
645,25087.55
646,25694.05
647,21423.033
648,23363.434
649,24236.404
650,22896.852
651,21766.578
652,23385.934
653,22865.105
654,24186.992
655,23140.004
656,22495.465
657,23827.941
658,22119.076
659,22353.326
660,21858.832
661,24353.861
662,23683.629
663,16762.678
664,22199.408
665,21103.215
666,21950.959
667,23929.41
668,22963.896
669,24419.191
670,22654.8
671,23579.617
672,22438.555
673,23156.508
674,20835.615
675,22815.713
676,21899.365
677,22736.506
678,22796.938
679,22718.475
680,23735.248
681,24137.516
682,25029.652
683,22342.576
684,23629.152
685,23150.395
686,24665.44
687,22360.812
688,23873.76
689,24593.543
690,23533.398
691,25235.053
692,25558.312
693,25828.746
694,27627.3
695,29930.043
696,26770.098
697,27549.662
698,27079.762
699,25287.727
700,26863.621
701,25880.896
702,24673.602
703,24954.68
704,24678.87
705,24094.477
706,23662.385
707,23489.715
708,24169.842
709,24596.832
710,23785.855
711,23902.191
712,23341.895
713,23644.621
714,22996.346
715,10039.611
716,11172.342
717,9081.82
718,9446.447
719,9697.332
720,10205.814
721,10674.219
722,9443.031
723,9707.477
724,9996.558
725,9759.646
726,8833.852
727,9436.168
728,7730.5586
729,9770.77
730,10025.488
731,9280.324
732,9251.0625
733,9710.938
734,9741.502
735,9782.834
736,10433.809
737,10488.535
738,11000.626
739,11402.584
740,12592.222
741,12695.623
742,12314.439
743,13368.576
744,12536.629
745,13252.522
746,15017.941
747,14166.29
748,15069.637
749,15713.495
750,15162.595
751,15017.522
752,14256.3545
753,13727.078
754,14658.715
755,14696.668
756,13732.6045
757,15856.071
758,16230.196
759,14604.283
760,16262.496
761,15635.107
762,14477.689
763,14906.257
764,14319.465
765,15243.385
766,12193.502
767,13459.512
768,11865.98
769,12285.848
770,12601.328
771,11751.004
772,14745.789
773,11674.203
774,11949.129
775,12279.671
776,13453.068
777,13048.1875
778,12183.353
779,10733.721
780,9178.744
781,10760.587
782,9353.809
783,9381.051
784,7261.135
785,9339.671
786,9359.236
787,9613.363
788,10001.387
789,10718.441
790,10092.009
791,11353.602
792,10858.304
793,14777.449
794,9782.017
795,13418.191
796,16922.87
797,15019.096
798,14743.861
799,14736.954
800,12588.762
801,15233.515
802,14679.231
803,13923.088
804,14223.811
805,11898.65
806,18216.643
807,15350.823
808,16418.568
809,17521.861
810,16720.908
811,17335.63
812,16571.152
813,17348.814
814,20207.947
815,16457.477
816,16797.482
817,14497.277
818,15120.173
819,15312.331
820,14996.795
821,16740.635
822,13660.956
823,13966.0625
824,12860.475
825,13700.523
826,13644.645
827,13373.425
828,13728.91
829,13602.3125
830,13291.831
831,11729.522
832,11525.822
833,9890.059
834,9486.471
835,9487.233
836,8924.9375
837,9304.529
838,8925.031
839,9783.217
840,9582.754
841,10018.562
842,11798.102
843,11584.158
844,12022.698
845,12951.301
846,14198.533
847,13462.178
848,14263.884
849,15337.341
850,13808.158
851,15232.508
852,15280.139
853,16863.393
854,15353.207
855,15701.44
856,15735.948
857,16620.398
858,16538.645
859,17856.102
860,16143.28
861,17787.22
862,19268.125
863,18825.527
864,21095.9
865,21603.342
866,20640.545
867,23663.469
868,18682.127
869,21321.457
870,20904.691
871,22767.375
872,21724.635
873,23410.94
874,24661.633
875,27231.086
876,29853.652
877,27581.91
878,31079.145
879,27533.383
880,35746.758
881,34299.234
882,29208.545
883,30476.598
884,23641.096
885,24993.832
886,22236.623
887,22900.465
888,20918.055
889,17079.236
890,18951.205
891,17133.064
892,16155.967
893,16936.154
894,16008.472
895,15693.771
896,15443.457
897,14738.88
898,15180.747
899,14622.998
900,14792.202
901,15761.695
902,14310.105
903,14252.516
904,14240.001
905,14154.414
906,15251.66
907,15793.412
908,20115.225
909,12830.173
910,17142.248
911,15242.31
912,19149.533
913,18880.84
914,19287.469
915,20608.65
916,28517.95
917,23173.252
918,18828.115
919,21077.105
920,16531.383
921,18453.322
922,18061.445
923,20179.95
924,16069.622
925,20886.828
926,19353.996
927,19971.674
928,24490.299
929,26834.09
930,25245.219
931,27134.95
932,31863.395
933,26256.37
934,22683.25
935,13066.534
936,28548.445
937,7727.2676
938,9472.834
939,9219.723
940,8961.271
941,8417.827
942,7976.2305
943,6130.992
944,8694.067
945,8044.037
946,6727.751
947,6872.302
948,8344.223
949,5697.377
950,6333.5215
951,4336.2246
952,4470.584
953,2319.418
954,993.0029
955,831.834
956,520.5137
957,-296.98438
958,147.63965
959,371.74707
960,276.64453
961,1088.8555
962,1867.0957
963,3432.2314
964,2973.5762
965,2777.9883
966,4924.914
967,6656.6133
968,10461.877
969,19609.34
970,29302.066
971,47420.6
972,68644.92
973,50102.18
974,42254.777
975,46167.61
976,29957.162
977,29069.441
978,27031.426
979,26396.41
980,24069.184
981,28282.797
982,28406.742
983,26396.703
984,26393.98
985,29402.203
986,26975.4
987,27087.697
988,27971.35
989,27028.613
990,28034.336
991,29214.71
